# single words - nimi pu
uFFDF9	tasun5	# tasun, three ideographs wide
uFFDFA	tasun6	# tasun, left part, two ideographs wide
uFFDFB	tasun7	# tasun, right part, two ideographs wide
uFFDF8	taasun	# tasun, two ideographs wide
uFFDF9	taaasun	# tasun, three ideographs wide
uFFDFA	taa	# tasun, left part, two ideographs wide
uFFDFB	aasun	# tasun, right part, two ideographs wide

# names of people
uFFB90	a+suli	# jan Asuli
uFFB91	Asuto	# jan waso Asuto
uFFB92	Eko	# ilo Eko
uFFDE0	ijo+tan+anpa+nanpa	# jan Itan
uFFB93	Jan	# jan Jan
uFFB94	Kapilu	# jan Kapilu
uFFDE2	Keli	# waso Keli
uFFDE3	KeTami	# jan Ke Tami
uFFB95	kili+ma	# kulupu Kilima
uFFDE4	Kita	# jan Kita
uFFB96	kulupu+en	# The & System
uFFDE1	kulupu+kasi	# kulupu kasi, default
uFFB97	kulupu+kasi1	# kulupu kasi, mushroom
uFFDE1	kulupu+kasi2	# kulupu kasi, seedling
uFFABE	lipamanka	# lipamanka
uFFABE	Lipamanka	# lipamanka
uFFABF	Lepeka	# jan Lepeka
uFFABF	melinjakulekule	# jan Lepeka
uFFABD	nata	# soweli nata
uFFB98	Nili	# jan Nili Koloto
uFFB85	To	# mute To
uFFB85	to2	# mute To
uFFB99	unikijetesantakalu	# jan Wija / Wyub
uFFB9A	waso+pimeja	# waso Atemi / waso pimeja
uFFB9B	Weko	# jan Kita / jan Weko
uFFD30	Aja	# jan Aja
uFFD31	AkesiKon	# akesi kon Nalasuni
uFFD32	Amelin	# jan Amelin
uFFD33	Ansu	# jan Ansu
uFFD34	Antepan	# jan Antepan
uFFD35	Asiku	# jan Asiku
uFFD36	Atu	# waso Atu
uFFD37	Esile	# jan Esile
uFFD38	Eweke	# soweli Eweke
uFFD39	Ipawi	# jan Ipawi
uFFD3A	Iseja	# jan Iseja
uFFD3B	Jalepu	# jan Alepu
uFFD3C	Jasun	# jan Jasun
