# single words - nimi pu
uFF9BB	kiwen*laso	# kiwen laso, scaled
uFF9BC	kiwen-lete	# kiwen lete, scaled
uFF9BC	kiwen+lete	# kiwen lete, scaled
uFF9BC	kiwen*lete	# kiwen lete, scaled
uFF9BD	kiwen-lili	# kiwen lili, scaled
uFF9BD	kiwen+lili	# kiwen lili, scaled
uFF9BD	kiwen*lili	# kiwen lili, scaled
uFF9BE	kiwen-loje	# kiwen loje, scaled
uFF9BE	kiwen+loje	# kiwen loje, scaled
uFF9BE	kiwen*loje	# kiwen loje, scaled
uFF9BF	kiwen-mun	# kiwen mun, scaled
uFF9BF	kiwen+mun	# kiwen mun, scaled
uFF9BF	kiwen*mun	# kiwen mun, scaled
uFF9C0	kiwen-pimeja	# kiwen pimeja, scaled
uFF9C0	kiwen+pimeja	# kiwen pimeja, scaled
uFF9C0	kiwen*pimeja	# kiwen pimeja, scaled
uFF9C1	kiwen-seli	# kiwen seli, scaled
uFF9C1	kiwen+seli	# kiwen seli, scaled
uFF9C1	kiwen*seli	# kiwen seli, scaled
uFF9C2	kiwen-suno	# kiwen suno, scaled
uFF9C2	kiwen+suno	# kiwen suno, scaled
uFF9C2	kiwen*suno	# kiwen suno, scaled
uFF9C3	kiwen-walo	# kiwen walo, scaled
uFF9C3	kiwen+walo	# kiwen walo, scaled
uFF9C3	kiwen*walo	# kiwen walo, scaled
uFF9C4	ko-jaki	# ko jaki, scaled
uFF9C4	ko+jaki	# ko jaki, scaled
uFF9C4	ko*jaki	# ko jaki, scaled
uFF9C5	ko-jelo	# ko jelo, scaled
uFF9C5	ko+jelo	# ko jelo, scaled
uFF9C5	ko*jelo	# ko jelo, scaled
uFF9C6	ko-kasi	# ko kasi, scaled
uFF9C6	ko+kasi	# ko kasi, scaled
uFF9C6	ko*kasi	# ko kasi, scaled
uFF9C7	ko-kule	# ko kule, scaled
uFF9C7	ko+kule	# ko kule, scaled
uFF9C7	ko*kule	# ko kule, scaled
uFF9C8	ko-laso	# ko laso, scaled
uFF9C8	ko+laso	# ko laso, scaled
uFF9C8	ko*laso	# ko laso, scaled
uFF9C9	ko-lete	# ko lete, scaled
uFF9C9	ko+lete	# ko lete, scaled
uFF9C9	ko*lete	# ko lete, scaled
uFF9CA	ko-lili	# ko lili, scaled
uFF9CA	ko+lili	# ko lili, scaled
uFF9CA	ko*lili	# ko lili, scaled
uFF9CB	ko-loje	# ko loje, scaled
uFF9CB	ko+loje	# ko loje, scaled
uFF9CB	ko*loje	# ko loje, scaled
uFF9CC	ko-nasa	# ko nasa, scaled
uFF9CC	ko+nasa	# ko nasa, scaled
uFF9CC	ko*nasa	# ko nasa, scaled
uFF9CD	ko-pimeja	# ko pimeja, scaled
uFF9CD	ko+pimeja	# ko pimeja, scaled
uFF9CD	ko*pimeja	# ko pimeja, scaled
uFF9CE	ko-seli	# ko seli, scaled
uFF9CE	ko+seli	# ko seli, scaled
uFF9CE	ko*seli	# ko seli, scaled
uFF9CF	ko-walo	# ko walo, scaled
uFF9CF	ko+walo	# ko walo, scaled
uFF9CF	ko*walo	# ko walo, scaled
uFF9D0	kon-lete	# kon lete, scaled
uFF9D0	kon+lete	# kon lete, scaled
uFF9D0	kon*lete	# kon lete, scaled
uFFBBD	laso-kasi	# laso kasi, stacked
uFFBBD	laso+kasi	# laso kasi, stacked
uFFBBD	laso^kasi	# laso kasi, stacked
uFFBBE	laso-mun	# laso mun, stacked
uFFBBE	laso+mun	# laso mun, stacked
uFFBBE	laso^mun	# laso mun, stacked
uFFBBF	laso-sewi	# laso sewi, default, stacked
uFFBBF	laso+sewi	# laso sewi, default, stacked
uFFBBF	laso^sewi	# laso sewi, default, stacked
uFFBBF	laso-sewi1	# laso sewi, Arabic, stacked
uFFBBF	laso+sewi1	# laso sewi, Arabic, stacked
uFFBBF	laso^sewi1	# laso sewi, Arabic, stacked
uFFBC0	laso-sewi2	# laso sewi, secularized, stacked
uFFBC0	laso+sewi2	# laso sewi, secularized, stacked
uFFBC0	laso^sewi2	# laso sewi, secularized, stacked
uFFBC1	laso-telo	# laso telo, stacked
uFFBC1	laso+telo	# laso telo, stacked
uFFBC1	laso^telo	# laso telo, stacked
uFF9D1	len-jan	# len jan, scaled
uFF9D1	len+jan	# len jan, scaled
uFF9D1	len*jan	# len jan, scaled
uFF9D2	len-jelo	# len jelo, scaled
uFF9D2	len+jelo	# len jelo, scaled
uFF9D2	len*jelo	# len jelo, scaled
uFF9D3	len-laso	# len laso, scaled
uFF9D3	len+laso	# len laso, scaled
uFF9D3	len*laso	# len laso, scaled
uFF9D4	len-lawa	# len lawa, scaled
uFF9D4	len+lawa	# len lawa, scaled
uFF9D4	len*lawa	# len lawa, scaled
uFF9D5	len-lili	# len lili, scaled
uFF9D5	len+lili	# len lili, scaled
uFF9D5	len*lili	# len lili, scaled
uFF9D6	len-loje	# len loje, scaled
uFF9D6	len+loje	# len loje, scaled
uFF9D6	len*loje	# len loje, scaled
uFF9D7	len-luka	# len luka, scaled
uFF9D7	len+luka	# len luka, scaled
uFF9D7	len*luka	# len luka, scaled
uFF9D8	len-noka	# len noka, scaled
uFF9D8	len+noka	# len noka, scaled
uFF9D8	len*noka	# len noka, scaled
uFF9D9	len-pimeja	# len pimeja, scaled
uFF9D9	len+pimeja	# len pimeja, scaled
uFF9D9	len*pimeja	# len pimeja, scaled
uFF9DA	len-sin	# len sin, scaled
uFF9DA	len+sin	# len sin, scaled
uFF9DA	len*sin	# len sin, scaled
uFF9DB	len-walo	# len walo, scaled
uFF9DB	len+walo	# len walo, scaled
uFF9DB	len*walo	# len walo, scaled
uFF9DC	linja-lili	# linja lili, stacked
uFF9DC	linja+lili	# linja lili, stacked
uFF9DC	linja^lili	# linja lili, stacked
uFF9DD	linja-pona	# linja pona, stacked
uFF9DD	linja+pona	# linja pona, stacked
uFF9DD	linja^pona	# linja pona, stacked
uFFBF4	linja-sike	# linja sike, stacked
uFFBF4	linja+sike	# linja sike, stacked
uFFBF4	linja^sike	# linja sike, stacked
uFFBF5	linja-suwi	# linja suwi, stacked
uFFBF5	linja+suwi	# linja suwi, stacked
uFFBF5	linja^suwi	# linja suwi, stacked
uFF9DE	lipu-kasi	# lipu kasi, scaled
uFF9DE	lipu+kasi	# lipu kasi, scaled
uFF9DE	lipu*kasi	# lipu kasi, scaled
uFF9DF	lipu-nanpa	# lipu nanpa, scaled
uFF9DF	lipu+nanpa	# lipu nanpa, scaled
uFF9DF	lipu*nanpa	# lipu nanpa, scaled
uFFBC2	lipu-nimi	# lipu nimi, scaled
uFFBC2	lipu+nimi	# lipu nimi, scaled
uFFBC2	lipu*nimi	# lipu nimi, scaled
uFF9E0	lipu-sewi	# lipu sewi, default, scaled
uFF9E0	lipu+sewi	# lipu sewi, default, scaled
uFF9E0	lipu*sewi	# lipu sewi, default, scaled
uFF9E0	lipu-sewi1	# lipu sewi, Arabic, scaled
uFF9E0	lipu+sewi1	# lipu sewi, Arabic, scaled
uFF9E0	lipu*sewi1	# lipu sewi, Arabic, scaled
uFFBC3	lipu-sewi2	# lipu sewi, secularized, scaled
uFFBC3	lipu+sewi2	# lipu sewi, secularized, scaled
uFFBC3	lipu*sewi2	# lipu sewi, secularized, scaled
uFF9E1	lipu-sona	# lipu sona, scaled
uFF9E1	lipu+sona	# lipu sona, scaled
uFF9E1	lipu*sona	# lipu sona, scaled
uFFBC4	lipu-tenpo	# lipu tenpo, scaled
uFFBC4	lipu+tenpo	# lipu tenpo, scaled
uFFBC4	lipu*tenpo	# lipu tenpo, scaled
uFF9E2	lipu-toki	# lipu toki, scaled
uFF9E2	lipu+toki	# lipu toki, scaled
uFF9E2	lipu*toki	# lipu toki, scaled
uFFBC5	loje-jelo	# loje jelo, stacked
uFFBC5	loje+jelo	# loje jelo, stacked
uFFBC5	loje^jelo	# loje jelo, stacked
uFFBC6	loje-walo	# loje walo, stacked
uFFBC6	loje+walo	# loje walo, stacked
uFFBC6	loje^walo	# loje walo, stacked
uFFA49	luka-luka	# luka luka, default
uFFA49	luka+luka	# luka luka, horizontal
uFF9E3	luka^luka	# luka luka, stacked
uFFBC7	luka*luka	# luka luka, scaled
uFFA44	luka-tu	# luka tu, default
uFFA44	luka+tu	# luka tu, horizontal
uFFBCD	luka^tu	# luka tu, stacked
uFFA42	luka-wan	# luka wan, default
uFFA42	luka+wan	# luka wan, horizontal
uFFBCE	luka^wan	# luka wan, stacked
uFF9E4	lupa-jaki	# lupa jaki, scaled
uFF9E4	lupa+jaki	# lupa jaki, scaled
uFF9E4	lupa*jaki	# lupa jaki, scaled
uFF9E5	lupa-kiwen	# lupa kiwen, scaled
uFF9E5	lupa+kiwen	# lupa kiwen, scaled
uFF9E5	lupa*kiwen	# lupa kiwen, scaled
uFF9E6	lupa-kute	# lupa kute, scaled
uFF9E6	lupa+kute	# lupa kute, scaled
uFF9E6	lupa*kute	# lupa kute, scaled
uFF9E7	lupa-lili	# lupa lili, scaled
uFF9E7	lupa+lili	# lupa lili, scaled
uFF9E7	lupa*lili	# lupa lili, scaled
uFF9E8	lupa-meli	# lupa meli, default, scaled
uFF9E8	lupa+meli	# lupa meli, default, scaled
uFF9E8	lupa*meli	# lupa meli, default, scaled
uFF9E8	lupa-meli1	# lupa meli, head with hair, scaled
uFF9E8	lupa+meli1	# lupa meli, head with hair, scaled
uFF9E8	lupa*meli1	# lupa meli, head with hair, scaled
uFFBCF	lupa-meli2	# lupa meli, female sign, scaled
uFFBCF	lupa+meli2	# lupa meli, female sign, scaled
uFFBCF	lupa*meli2	# lupa meli, female sign, scaled
uFF9E9	lupa-monsi	# lupa monsi, scaled
uFF9E9	lupa+monsi	# lupa monsi, scaled
uFF9E9	lupa*monsi	# lupa monsi, scaled
uFF9EA	lupa-nena	# lupa nena, scaled
uFF9EA	lupa+nena	# lupa nena, scaled
uFF9EA	lupa*nena	# lupa nena, scaled
uFF9EB	lupa-tomo	# lupa tomo, scaled
uFF9EB	lupa+tomo	# lupa tomo, scaled
uFF9EB	lupa*tomo	# lupa tomo, scaled
uFF9EC	ma-ale	# ma ale, synonym of ma ali, stacked
uFF9EC	ma+ale	# ma ale, synonym of ma ali, stacked
uFF9EC	ma^ale	# ma ale, synonym of ma ali, stacked
uFF9EC	ma-ali	# ma ali, synonym of ma ale, stacked
uFF9EC	ma+ali	# ma ali, synonym of ma ale, stacked
uFF9EC	ma^ali	# ma ali, synonym of ma ale, stacked
uFFD05	ma-ike	# ma ike, stacked
uFFD05	ma+ike	# ma ike, stacked
uFFD05	ma^ike	# ma ike, stacked
uFF9ED	ma-kasi	# ma kasi, stacked
uFF9ED	ma+kasi	# ma kasi, stacked
uFF9ED	ma^kasi	# ma kasi, stacked
uFFD02	ma-ni	# ma ni, stacked
uFFD02	ma+ni	# ma ni, stacked
uFFD02	ma^ni	# ma ni, stacked
uFFD06	ma-pona	# ma pona, stacked
uFFD06	ma+pona	# ma pona, stacked
uFFD06	ma^pona	# ma pona, stacked
uFF9EE	ma-tomo	# ma tomo, stacked
uFF9EE	ma+tomo	# ma tomo, stacked
uFF9EE	ma^tomo	# ma tomo, stacked
uFF9EF	mama-mama	# mama mama, scaled
uFF9EF	mama+mama	# mama mama, scaled
uFF9EF	mama*mama	# mama mama, scaled
uFF9F0	mama-meli	# mama meli, default, scaled
uFF9F0	mama+meli	# mama meli, default, scaled
uFF9F0	mama*meli	# mama meli, default, scaled
uFF9F0	mama-meli1	# mama meli, head with hair, scaled
uFF9F0	mama+meli1	# mama meli, head with hair, scaled
uFF9F0	mama*meli1	# mama meli, head with hair, scaled
uFFBD0	mama-meli2	# mama meli, female sign, scaled
uFFBD0	mama+meli2	# mama meli, female sign, scaled
uFFBD0	mama*meli2	# mama meli, female sign, scaled
uFF9F1	mama-mije	# mama mije, default, scaled
uFF9F1	mama+mije	# mama mije, default, scaled
uFF9F1	mama*mije	# mama mije, default, scaled
uFF9F1	mama-mije1	# mama mije, head and shoulders, scaled
uFF9F1	mama+mije1	# mama mije, head and shoulders, scaled
uFF9F1	mama*mije1	# mama mije, head and shoulders, scaled
uFFBD1	mama-mije2	# mama mije, male sign, scaled
uFFBD1	mama+mije2	# mama mije, male sign, scaled
uFFBD1	mama*mije2	# mama mije, male sign, scaled
uFFBD2	mama-tonsi	# mama tonsi, scaled
uFFBD2	mama+tonsi	# mama tonsi, scaled
uFFBD2	mama*tonsi	# mama tonsi, scaled
uFF9F2	meli-ike	# meli ike, default, scaled
uFF9F2	meli+ike	# meli ike, default, scaled
uFF9F2	meli*ike	# meli ike, default, scaled
uFF9F2	meli1-ike	# meli ike, head with hair, scaled
uFF9F2	meli1+ike	# meli ike, head with hair, scaled
uFF9F2	meli1*ike	# meli ike, head with hair, scaled
uFFBD3	meli2-ike	# meli ike, female sign, scaled
uFFBD3	meli2+ike	# meli ike, female sign, scaled
uFFBD3	meli2*ike	# meli ike, female sign, scaled
uFF9F3	meli-lili	# meli lili, default, scaled
uFF9F3	meli+lili	# meli lili, default, scaled
uFF9F3	meli*lili	# meli lili, default, scaled
uFF9F3	meli1-lili	# meli lili, head with hair, scaled
uFF9F3	meli1+lili	# meli lili, head with hair, scaled
uFF9F3	meli1*lili	# meli lili, head with hair, scaled
uFFBD4	meli2-lili	# meli lili, female sign, scaled
uFFBD4	meli2+lili	# meli lili, female sign, scaled
uFFBD4	meli2*lili	# meli lili, female sign, scaled
uFFD07	meli-mije	# meli mije, head with hair and shoulders, combined
uFFD07	meli+mije	# meli mije, head with hair and shoulders, combined
uFFD07	meli1-mije1	# meli mije, head with hair and shoulders, combined
uFFD07	meli1+mije1	# meli mije, head with hair and shoulders, combined
uFFD08	meli2-mije2	# meli mije, male and female sign, combined
uFFD08	meli2+mije2	# meli mije, male and female sign, combined
uFF9F4	meli-pona	# meli pona, default, scaled
uFF9F4	meli+pona	# meli pona, default, scaled
uFF9F4	meli*pona	# meli pona, default, scaled
uFF9F4	meli1-pona	# meli pona, head with hair, scaled
uFF9F4	meli1+pona	# meli pona, head with hair, scaled
uFF9F4	meli1*pona	# meli pona, head with hair, scaled
uFFBD5	meli2-pona	# meli pona, female sign, scaled
uFFBD5	meli2+pona	# meli pona, female sign, scaled
uFFBD5	meli2*pona	# meli pona, female sign, scaled
uFF9F5	meli-sama	# meli sama, default, scaled
uFF9F5	meli+sama	# meli sama, default, scaled
uFF9F5	meli*sama	# meli sama, default, scaled
uFF9F5	meli1-sama	# meli sama, head with hair, scaled
uFF9F5	meli1+sama	# meli sama, head with hair, scaled
uFF9F5	meli1*sama	# meli sama, head with hair, scaled
uFFBD6	meli2-sama	# meli sama, female sign, scaled
uFFBD6	meli2+sama	# meli sama, female sign, scaled
uFFBD6	meli2*sama	# meli sama, female sign, scaled
uFFBD7	meli-tonsi	# meli tonsi, default, scaled
uFFBD7	meli+tonsi	# meli tonsi, default, scaled
uFFBD7	meli*tonsi	# meli tonsi, default, scaled
uFFBD7	meli1-tonsi	# meli tonsi, head with hair, scaled
uFFBD7	meli1+tonsi	# meli tonsi, head with hair, scaled
uFFBD7	meli1*tonsi	# meli tonsi, head with hair, scaled
uFFBD8	meli2-tonsi	# meli tonsi, female sign, scaled
uFFBD8	meli2+tonsi	# meli tonsi, female sign, scaled
uFFBD8	meli2*tonsi	# meli tonsi, female sign, scaled
uFF9F6	meli-unpa	# meli unpa, default, scaled
uFF9F6	meli+unpa	# meli unpa, default, scaled
uFF9F6	meli*unpa	# meli unpa, default, scaled
uFF9F6	meli1-unpa	# meli unpa, head with hair, scaled
uFF9F6	meli1+unpa	# meli unpa, head with hair, scaled
uFF9F6	meli1*unpa	# meli unpa, head with hair, scaled
uFFBD9	meli2-unpa	# meli unpa, female sign, scaled
uFFBD9	meli2+unpa	# meli unpa, female sign, scaled
uFFBD9	meli2*unpa	# meli unpa, female sign, scaled
uFFBDA	meli-wawa	# meli wawa, default, scaled
uFFBDA	meli+wawa	# meli wawa, default, scaled
uFFBDA	meli*wawa	# meli wawa, default, scaled
uFFBDA	meli1-wawa	# meli wawa, head with hair, scaled
uFFBDA	meli1+wawa	# meli wawa, head with hair, scaled
uFFBDA	meli1*wawa	# meli wawa, head with hair, scaled
uFFBDB	meli2-wawa	# meli wawa, female sign, scaled
uFFBDB	meli2+wawa	# meli wawa, female sign, scaled
uFFBDB	meli2*wawa	# meli wawa, female sign, scaled
uFF9F7	mije-ike	# mije ike, default, scaled
uFF9F7	mije+ike	# mije ike, default, scaled
uFF9F7	mije*ike	# mije ike, default, scaled
uFF9F7	mije1-ike	# mije ike, head and shoulders, scaled
uFF9F7	mije1+ike	# mije ike, head and shoulders, scaled
uFF9F7	mije1*ike	# mije ike, head and shoulders, scaled
uFFBDC	mije2-ike	# mije ike, male sign, scaled
uFFBDC	mije2+ike	# mije ike, male sign, scaled
uFFBDC	mije2*ike	# mije ike, male sign, scaled
uFF9F8	mije-lili	# mije lili, default, scaled
uFF9F8	mije+lili	# mije lili, default, scaled
uFF9F8	mije*lili	# mije lili, default, scaled
uFF9F8	mije1-lili	# mije lili, head and shoulders, scaled
uFF9F8	mije1+lili	# mije lili, head and shoulders, scaled
uFF9F8	mije1*lili	# mije lili, head and shoulders, scaled
uFFBDD	mije2-lili	# mije lili, male sign, scaled
uFFBDD	mije2+lili	# mije lili, male sign, scaled
uFFBDD	mije2*lili	# mije lili, male sign, scaled
uFFD07	mije-meli	# mije meli, head with hair and shoulders, combined
uFFD07	mije+meli	# mije meli, head with hair and shoulders, combined
uFFD07	mije1-meli1	# mije meli, head with hair and shoulders, combined
uFFD07	mije1+meli1	# mije meli, head with hair and shoulders, combined
uFFD08	mije2-meli2	# mije meli, male and female sign, combined
uFFD08	mije2+meli2	# mije meli, male and female sign, combined
uFF9F9	mije-pona	# mije pona, default, scaled
uFF9F9	mije+pona	# mije pona, default, scaled
uFF9F9	mije*pona	# mije pona, default, scaled
uFF9F9	mije1-pona	# mije pona, head and shoulders, scaled
uFF9F9	mije1+pona	# mije pona, head and shoulders, scaled
uFF9F9	mije1*pona	# mije pona, head and shoulders, scaled
uFFBDE	mije2-pona	# mije pona, male sign, scaled
uFFBDE	mije2+pona	# mije pona, male sign, scaled
uFFBDE	mije2*pona	# mije pona, male sign, scaled
uFF9FA	mije-sama	# mije sama, default, scaled
uFF9FA	mije+sama	# mije sama, default, scaled
uFF9FA	mije*sama	# mije sama, default, scaled
uFF9FA	mije1-sama	# mije sama, head and shoulders, scaled
uFF9FA	mije1+sama	# mije sama, head and shoulders, scaled
uFF9FA	mije1*sama	# mije sama, head and shoulders, scaled
uFFBDF	mije2-sama	# mije sama, male sign, scaled
uFFBDF	mije2+sama	# mije sama, male sign, scaled
uFFBDF	mije2*sama	# mije sama, male sign, scaled
uFFBE0	mije-tonsi	# mije tonsi, default, scaled
uFFBE0	mije+tonsi	# mije tonsi, default, scaled
uFFBE0	mije*tonsi	# mije tonsi, default, scaled
uFFBE0	mije1-tonsi	# mije tonsi, head and shoulders, scaled
uFFBE0	mije1+tonsi	# mije tonsi, head and shoulders, scaled
uFFBE0	mije1*tonsi	# mije tonsi, head and shoulders, scaled
uFFBE1	mije2-tonsi	# mije tonsi, male sign, scaled
uFFBE1	mije2+tonsi	# mije tonsi, male sign, scaled
uFFBE1	mije2*tonsi	# mije tonsi, male sign, scaled
uFF9FB	mije-unpa	# mije unpa, default, scaled
uFF9FB	mije+unpa	# mije unpa, default, scaled
uFF9FB	mije*unpa	# mije unpa, default, scaled
uFF9FB	mije1-unpa	# mije unpa, head and shoulders, scaled
uFF9FB	mije1+unpa	# mije unpa, head and shoulders, scaled
uFF9FB	mije1*unpa	# mije unpa, head and shoulders, scaled
uFFBE2	mije2-unpa	# mije unpa, male sign, scaled
uFFBE2	mije2+unpa	# mije unpa, male sign, scaled
uFFBE2	mije2*unpa	# mije unpa, male sign, scaled
uFF9FC	mije-wawa	# mije wawa, default, scaled
uFF9FC	mije+wawa	# mije wawa, default, scaled
uFF9FC	mije*wawa	# mije wawa, default, scaled
uFF9FC	mije1-wawa	# mije wawa, head and shoulders, scaled
uFF9FC	mije1+wawa	# mije wawa, head and shoulders, scaled
uFF9FC	mije1*wawa	# mije wawa, head and shoulders, scaled
uFFBE3	mije2-wawa	# mije wawa, male sign, scaled
uFFBE3	mije2+wawa	# mije wawa, male sign, scaled
uFFBE3	mije2*wawa	# mije wawa, male sign, scaled
uFF9FD	musi-lili	# musi lili, scaled
uFF9FD	musi+lili	# musi lili, scaled
uFF9FD	musi*lili	# musi lili, scaled
uFFBF6	nasin-nanpa	# nasin nanpa, default
uFFBF6	nasin+nanpa	# nasin nanpa, horizontal
uFFBF7	nasin^nanpa	# nasin nanpa, stacked
uFFBF8	nasin-sitelen	# nasin sitelen, stacked
uFFBF8	nasin+sitelen	# nasin sitelen, stacked
uFFBF8	nasin^sitelen	# nasin sitelen, stacked
uFF9FE	nena-kon	# nena kon, scaled
uFF9FE	nena+kon	# nena kon, scaled
uFF9FE	nena*kon	# nena kon, scaled
uFF9FF	nena-kute	# nena kute, scaled
uFF9FF	nena+kute	# nena kute, scaled
uFF9FF	nena*kute	# nena kute, scaled
uFFA00	nena-lili	# nena lili, scaled
uFFA00	nena+lili	# nena lili, scaled
uFFA00	nena*lili	# nena lili, scaled
uFFA01	nena-mama	# nena mama, scaled
uFFA01	nena+mama	# nena mama, scaled
uFFA01	nena*mama	# nena mama, scaled
uFFA02	nena-meli	# nena meli, default, scaled
uFFA02	nena+meli	# nena meli, default, scaled
uFFA02	nena*meli	# nena meli, default, scaled
uFFA02	nena-meli1	# nena meli, head with hair, scaled
uFFA02	nena+meli1	# nena meli, head with hair, scaled
uFFA02	nena*meli1	# nena meli, head with hair, scaled
uFFBE4	nena-meli2	# nena meli, female sign, scaled
uFFBE4	nena+meli2	# nena meli, female sign, scaled
uFFBE4	nena*meli2	# nena meli, female sign, scaled
uFFD96	nimi-sin	# nimi sin, default
uFFD96	nimi+sin	# nimi sin, default
uFFBFA	nimi^sin	# nimi sin, stacked
uFFBFB	nimi*sin	# nimi sin, scaled
uFFA03	palisa-lili	# palisa lili, scaled
uFFA03	palisa+lili	# palisa lili, scaled
uFFA03	palisa*lili	# palisa lili, scaled
uFFA04	pilin-ala	# pilin ala, scaled
uFFA04	pilin+ala	# pilin ala, scaled
uFFA04	pilin*ala	# pilin ala, scaled
uFFA05	pilin-ike	# pilin ike, scaled
uFFA05	pilin+ike	# pilin ike, scaled
uFFA05	pilin*ike	# pilin ike, scaled
uFFA06	pilin-nasa	# pilin nasa, scaled
uFFA06	pilin+nasa	# pilin nasa, scaled
uFFA06	pilin*nasa	# pilin nasa, scaled
uFFA07	pilin-pakala	# pilin pakala, scaled
uFFA07	pilin+pakala	# pilin pakala, scaled
uFFA07	pilin*pakala	# pilin pakala, scaled
uFFA08	pilin-pona	# pilin pona, scaled
uFFA08	pilin+pona	# pilin pona, scaled
uFFA08	pilin*pona	# pilin pona, scaled
uFFA09	pilin-sama	# pilin sama, scaled
uFFA09	pilin+sama	# pilin sama, scaled
uFFA09	pilin*sama	# pilin sama, scaled
uFFD09	pimeja-jelo	# pimeja jelo, combined
uFFD09	pimeja+jelo	# pimeja jelo, combined
uFFD0A	pimeja-laso	# pimeja laso, combined
uFFD0A	pimeja+laso	# pimeja laso, combined
uFFD0B	pimeja-loje	# pimeja loje, combined
uFFD0B	pimeja+loje	# pimeja loje, combined
uFFA0A	poki-kon	# poki kon, scaled
uFFA0A	poki+kon	# poki kon, scaled
uFFA0A	poki*kon	# poki kon, scaled
uFFA0B	poki-len	# poki len, scaled
uFFA0B	poki+len	# poki len, scaled
uFFA0B	poki*len	# poki len, scaled
uFFA0C	poki-lete	# poki lete, scaled
uFFA0C	poki+lete	# poki lete, scaled
uFFA0C	poki*lete	# poki lete, scaled
uFFA0D	poki-lili	# poki lili, scaled
uFFA0D	poki+lili	# poki lili, scaled
uFFA0D	poki*lili	# poki lili, scaled
uFFA0E	poki-seli	# poki seli, scaled
uFFA0E	poki+seli	# poki seli, scaled
uFFA0E	poki*seli	# poki seli, scaled
uFFA0F	poki-telo	# poki telo, scaled
uFFA0F	poki+telo	# poki telo, scaled
uFFA0F	poki*telo	# poki telo, scaled
uFFBAF	poki-tona	# poki tona, scaled
uFFBAF	poki+tona	# poki tona, scaled
uFFBAF	poki*tona	# poki tona, scaled
uFFA10	pona-ala	# pona ala, stacked
uFFA10	pona+ala	# pona ala, stacked
uFFA10	pona^ala	# pona ala, stacked
uFFA11	pona-lili	# pona lili, stacked
uFFA11	pona+lili	# pona lili, stacked
uFFA11	pona^lili	# pona lili, stacked
uFFA12	pona-lukin	# pona lukin, stacked
uFFA12	pona+lukin	# pona lukin, stacked
uFFA12	pona^lukin	# pona lukin, stacked
uFFA13	selo-len	# selo len, stacked
uFFA13	selo+len	# selo len, stacked
uFFA13	selo^len	# selo len, stacked
uFFA14	selo-soweli	# selo soweli, stacked
uFFA14	selo+soweli	# selo soweli, stacked
uFFA14	selo^soweli	# selo soweli, stacked
uFFA15	sike-lili	# sike lili, scaled
uFFA15	sike+lili	# sike lili, scaled
uFFA15	sike*lili	# sike lili, scaled
uFFA16	sitelen-ike	# sitelen ike, scaled
uFFA16	sitelen+ike	# sitelen ike, scaled
uFFA16	sitelen*ike	# sitelen ike, scaled
uFFA17	sitelen-ma	# sitelen ma, scaled
uFFA17	sitelen+ma	# sitelen ma, scaled
uFFA17	sitelen*ma	# sitelen ma, scaled
uFFA18	sitelen-monsuta	# sitelen monsuta, scaled
uFFA18	sitelen+monsuta	# sitelen monsuta, scaled
uFFA18	sitelen*monsuta	# sitelen monsuta, scaled
uFFA19	sitelen-pona	# sitelen pona, scaled
uFFA19	sitelen+pona	# sitelen pona, scaled
uFFA19	sitelen*pona	# sitelen pona, scaled
uFFA1A	sitelen-sitelen	# sitelen sitelen, scaled
uFFA1A	sitelen+sitelen	# sitelen sitelen, scaled
uFFA1A	sitelen*sitelen	# sitelen sitelen, scaled
uFFA1B	sitelen-tawa	# sitelen tawa, scaled
uFFA1B	sitelen+tawa	# sitelen tawa, scaled
uFFA1B	sitelen*tawa	# sitelen tawa, scaled
uFFA1C	sitelen-toki	# sitelen toki, scaled
uFFA1C	sitelen+toki	# sitelen toki, scaled
uFFA1C	sitelen*toki	# sitelen toki, scaled
uFFA1D	sona-ala	# sona ala, scaled
uFFA1D	sona+ala	# sona ala, scaled
uFFA1D	sona*ala	# sona ala, scaled
uFFA1E	sona-ike	# sona ike, scaled
uFFA1E	sona+ike	# sona ike, scaled
uFFA1E	sona*ike	# sona ike, scaled
uFFA1F	sona-lili	# sona lili, scaled
uFFA1F	sona+lili	# sona lili, scaled
uFFA1F	sona*lili	# sona lili, scaled
uFFA20	sona-ma	# sona ma, scaled
uFFA20	sona+ma	# sona ma, scaled
uFFA20	sona*ma	# sona ma, scaled
uFFA21	sona-nanpa	# sona nanpa, scaled
uFFA21	sona+nanpa	# sona nanpa, scaled
uFFA21	sona*nanpa	# sona nanpa, scaled
uFFA22	sona-pona	# sona pona, scaled
uFFA22	sona+pona	# sona pona, scaled
uFFA22	sona*pona	# sona pona, scaled
uFFA23	sona-sijelo	# sona sijelo, scaled
uFFA23	sona+sijelo	# sona sijelo, scaled
uFFA23	sona*sijelo	# sona sijelo, scaled
uFFA24	sona-tenpo	# sona tenpo, scaled
uFFA24	sona+tenpo	# sona tenpo, scaled
uFFA24	sona*tenpo	# sona tenpo, scaled
uFFA25	sona-toki	# sona toki, scaled
uFFA25	sona+toki	# sona toki, scaled
uFFA25	sona*toki	# sona toki, scaled
uFFA26	sona-utala	# sona utala, scaled
uFFA26	sona+utala	# sona utala, scaled
uFFA26	sona*utala	# sona utala, scaled
uFFA27	supa-lape	# supa lape, stacked
uFFA27	supa+lape	# supa lape, stacked
